ஆண் குழந்தை பெயர்கள்,பெண் குழந்தை பெயர்கள்
அன்பு,அகல்யா
அபிமன்யு,அமுதா
அபிநயன்,அங்கயற்கண்ணி
அனேகன்,அழகி
அரசு,அமுதவல்லி
அன்புச்செழியன்,அகிலா
அன்பரசன்,அமுதரசி
அன்பானந்தம்,அமுதாம்பிகா
அகத்தியன்,அங்கயற்கரசி
அசோக்,அருள்விழி
அனலரசு,அன்னம்
அண்ணாமலை,அன்பரசி
அதியமான்,அருள்செல்வி
அமுதவாணன்,அருளரசி
அமுதன்,அன்னக்கிளி
அருண்,அன்புக்கொடி
அருள்,அபிநயா
அருள்மொழி,அபிராமி
வர்மன்,அம்பிகா
அருள்செல்வன்,அமலா
அருளரசன்,அம்மு
அருள்வேல்,அமிர்தா
அருட்ச்செல்வன்,ஆனந்தி
அறிவு,அனாமிகா
அழகேசன்,அனிதா
அறிவுமதி,அஞ்சலி
அறிவழகன்,அஞ்சு
அன்புக்கனி,அஞ்சுஸ்ரீ
அபிஷேக்,அனுஷா
அபிலேஸ்,அன்ஷிகா
அபிராஜ்,அனுகிரிதி
அபினவ்,அனுஸ்ரீ
அஜித்,அர்ச்சனா
அக்னிராஜ்,அருணா
அக்சை குமார்,அருந்ததி
அமல்,அம்பலவாணன்
அமிதாப்,அம்மையப்பன்
அமல்ராஜ்,ஆதி
அனந்த கிருஷ்ணன்,அமல்நாத்
அனிருத்,அனுராஜ்
அனுஷ்,இசைக்கதிர்
இளங்கோவன்,இசைக்கொடி
இன்பரசு,இசைக்கோமகள்
இனியன்,இசை தேவி
இளங்கோவடிகள்,இசைமொழி
இலக்கியன்,இக்ஷிதா
இந்திரானந்தன்f,இசையமுதினி
இசைநாடன்,இசையரசி
இசைக்கதிர்,இசையொளி
இளவேந்தன்,இசைவாணி
இளவேலன்,இந்திரஜா
இந்திரன்,இந்துகலா
இந்திரஜித்,இந்துவதனி
இசைஅமுதன்,இந்ராணி
இசக்கிமுத்து,இனன்யா
இந்திரகாந்தன்,இனிதா
இசைக்கலைவாணன்,இனியா
இசைக்கோ,இன்தமிழ்ச்செல்வி
இந்தரஜித்,இன்னிசைக்கொடி
இந்திரகுமார்,இன்னிசைக்கோமகள்
இந்துகாந்த்,இன்னிசைப்பாவியம்
இந்தேஷ்வர்,இன்னிசைமதி
இனியவன்,இன்னிலவு
இன்னமுதன்,இன்னெழில்
இன்னிசைப்பாவலன்,இன்முல்லை
இன்பசேகரன்,இன்மொழி
இந்திரவர்மன்,இமையெழில்
இன்பநாயகன்,இயற்றமிழ்ச்சுடர்
இன்பன்,இயற்றமிழ்மணி
இன்பராஜ்,இயற்றமிழ்மதி
இன்பவாணன்,இயலரசி
இன்மொழியன்,இயலிசைச்செல்வி
